seller,seller_URL,items_no,sales_no,admirers_no,year_join,metrics
Lindseyboutiquee,https://www.etsy.com/uk/shop/Lindseyboutiquee?ref=shop-header-name&listing_id=1168662611&from_page=listing,18,16513,2949,2021,['Smooth dispatch']
LipglossCostume,https://www.etsy.com/uk/shop/LipglossCostume?ref=shop-header-name&listing_id=1430023565&from_page=listing,358,6687,17414,2013,"['Smooth dispatch', 'Speedy replies']"
LittleBigBoutiqueUK,https://www.etsy.com/uk/shop/LittleBigBoutiqueUK?ref=shop-header-name&listing_id=1693648333&from_page=listing,19,8375,206,2020,None
LittleBirdeeMessages,https://www.etsy.com/uk/shop/LittleBirdeeMessages?ref=shop-header-name&listing_id=1005304448&from_page=listing,199,72,4193,2020,"['Smooth dispatch', 'Rave reviews']"
LittleCaseStore,https://www.etsy.com/uk/shop/LittleCaseStore?ref=shop-header-name&listing_id=1050524062&from_page=listing,158,2365,2787,Not known,"['Smooth dispatch', 'Rave reviews']"
LittleManaCreates,https://www.etsy.com/uk/shop/LittleManaCreates?ref=shop-header-name&listing_id=1697147165&from_page=listing,110,3514,170,2022,['Smooth dispatch']
LittleMiracleShopArt,https://www.etsy.com/uk/shop/LittleMiracleShopArt?ref=shop-header-name&listing_id=1545741957&from_page=listing,81,917,1085,2019,"['Smooth dispatch', 'Speedy replies', 'Rave reviews']"
LizasclosetByDinesh,https://www.etsy.com/uk/shop/LizasclosetByDinesh?ref=shop-header-name&listing_id=1705377445&from_page=listing,3,3408,6,Not known,None
LockedintheCellar,https://www.etsy.com/ca/shop/LockedintheCellar?ref=shop-header-name&listing_id=603878108&from_page=listing,31,1,1444,2016,"['Speedy replies', 'Rave reviews']"
LockenlodeStudio,https://www.etsy.com/uk/shop/LockenlodeStudio?ref=shop-header-name&listing_id=1089212109&from_page=listing,87,5223,443,2021,"['Speedy replies', 'Rave reviews']"
Loklokworkshop,https://www.etsy.com/uk/shop/Loklokworkshop?ref=shop-header-name&listing_id=1684138724&from_page=listing,2,352,121,Not known,"['Smooth dispatch', 'Speedy replies']"
LolliathARTS,https://www.etsy.com/uk/shop/LolliathARTS?ref=shop-header-name&listing_id=1691926925&from_page=listing,132,213,1991,2020,['Rave reviews']
LoneunicornAlice,https://www.etsy.com/uk/shop/LoneunicornAlice?ref=shop-header-name&listing_id=789253721&from_page=listing,96,2354,551,Not known,['Rave reviews']
LootCaveCo,https://www.etsy.com/uk/shop/LootCaveCo?ref=shop-header-name&listing_id=1694817997&from_page=listing,"1,219",2156,17110,2017,"['Smooth dispatch', 'Rave reviews']"
LoveAsian,https://www.etsy.com/uk/shop/LoveAsian?ref=shop-header-name&listing_id=1041147805&from_page=listing,25,111782,737,Not known,None
LowPricesSTL,https://www.etsy.com/uk/shop/LowPricesSTL?ref=shop-header-name&listing_id=1366289110&from_page=listing,24,543,65,Not known,None
LuckyStore92,https://www.etsy.com/uk/shop/LuckyStore92?ref=shop-header-name&listing_id=813519918&from_page=listing,7,332,84,Not known,None
LukeyLuxJewelry,https://www.etsy.com/uk/shop/LukeyLuxJewelry?ref=shop-header-name&listing_id=1281272777&from_page=listing,207,159,5651,2019,['Rave reviews']
LumiCraft,https://www.etsy.com/uk/shop/LumiCraft?ref=shop-header-name&listing_id=1339455095&from_page=listing,101,2272,1593,2021,"['Smooth dispatch', 'Speedy replies', 'Rave reviews']"
LunarboxCosplay,https://www.etsy.com/uk/shop/LunarboxCosplay?ref=shop-header-name&listing_id=1164959037&from_page=listing,25,1144,148,2020,None
LupiCraftsAndCustoms,https://www.etsy.com/uk/shop/LupiCraftsAndCustoms?ref=shop-header-name&listing_id=1247699776&from_page=listing,30,325,139,Not known,None
LydiaCosplay,https://www.etsy.com/uk/shop/LydiaCosplay?ref=shop-header-name&listing_id=203821295&from_page=listing,97,481,13233,Not known,None
